№,Герб,Город,Регион,Федеральный округ,Население,Основание или первое упоминание,Статус города [5],Прежние названия
995,,Ульяновск,Ульяновская область,Приволжский,613793,1648,1648,Синбирск  (до 1780); Симбирск  (до 1924)
996,,Унеча,Брянская область,Центральный,26196,1887,1940,
997,,Урай,Ханты-Мансийский АО — Югра,Уральский,39435,1922,1965,
998,,Урень,Нижегородская область,Приволжский,12311,1719,1973,Трёхсвятское
999,,Уржум,Кировская область,Приволжский,10213,1584,1796,
1000,,Урус-Мартан,Чечня,Северо-Кавказский,49071,XVIII век,1990,Красноармейское  (с 1944 до 1958)
1001,,Урюпинск,Волгоградская область,Южный,41594,1618,1929,Урюпинская  (до 1929)
1002,,Усинск,Коми,Северо-Западный,41100,1966,1984,
1003,,Усмань,Липецкая область,Центральный,18752,1645,1779,
1004,,Усолье-Сибирское,Иркутская область,Сибирский,83364,1669,1925,Усолье  (до 1940)
1005,,Усолье,Пермский край,Приволжский,5694,1606,1940,
1006,,Уссурийск,Приморский край,Дальневосточный,157946,1866,1898,Никольск  (до 1926); Никольск-Уссурийский  (до 1935); Ворошилов  (до 1957)
1007,,Усть-Джегута,Карачаево-Черкесия,Северо-Кавказский,30602,1868,1975,Усть-Джегутинская  (до 1975)
1008,,Усть-Илимск,Иркутская область,Сибирский,86591,1966,1973,Усть-Илим  (до 1973)
1009,,Усть-Катав,Челябинская область,Уральский,23586,1758,1942,Усть-Катавский завод
1010,,Усть-Кут,Иркутская область,Сибирский,45061,1631,1954,"Усть-Кутский острог ,  Усть-Кутское"
1011,,Усть-Лабинск,Краснодарский край,Южный,43268,1794,1958,Усть-Лабинская  (до 1958)
1012,,Устюжна,Вологодская область,Северо-Западный,9478,1252,1252,
1013,,Уфа,Башкортостан,Приволжский,1062300,1574,1586,
1014,,Ухта,Коми,Северо-Западный,99642,1929,1943,
1015,,Учалы,Башкортостан,Приволжский,37771,сер.  XVIII века,1963,
1016,,Уяр,Красноярский край,Сибирский,12666,1760,1944,Клюквенная
1017,,Фатеж,Курская область,Центральный,5404,XVI век,1779,
1018,,Феодосия Оспаривается,Крым,Южный,69038,VI век до н. э.,,"Кефе ,  Кафа"
1019,,Фокино,Брянская область,Центральный,13874,1899,1964,Цементный  (до 1964)
1020,,Фокино,Приморский край,Дальневосточный,23683,1891,1980,Тихоокеанский  (до 1980); Шкотово-17  (до 1994)
1021,,Фролово,Волгоградская область,Южный,39489,1859,1936,
1022,,Фрязино,Московская область,Центральный,55449,1584,1951,
1023,,Фурманов,Ивановская область,Центральный,36149,1918,1918,Середа-Упино  (до 1918); Середа  (до 1941)
1024,,Хабаровск,Хабаровский край,Дальневосточный,577668,1858,1880,Бури  (до 1858); Хабарово  (до 1880); Хабаровка  (до 1893)
1025,,Хадыженск,Краснодарский край,Южный,21580,1864,1949,
1026,,Ханты-Мансийск,Ханты-Мансийский АО — Югра,Уральский,79410,1582,1950,Остяко-Вогульск  (до 1940)
1027,,Харабали,Астраханская область,Южный,18209,1789,1974,
1028,,Харовск,Вологодская область,Северо-Западный,10078,1903,1954,
1029,,Хасавюрт,Дагестан,Северо-Кавказский,133929,1846,1931,Ярыксув  (до 1847)
1030,,Хвалынск,Саратовская область,Приволжский,13199,1556,1780,Сосновк а (до 1606); Сосновый остров  (до 1780)
1031,,Хилок,Забайкальский край,Сибирский,11530,1895,1951,
1032,,Химки,Московская область,Центральный,207125,1850,1939,
1033,,Холм,Новгородская область,Северо-Западный,3829,1144,1777,
1034,,Холмск,Сахалинская область,Дальневосточный,30936,1870,1922,Маука  (до 1905); Маока  (до 1946)
1035,,Хотьково,Московская область,Центральный,21612,1308,1949,
1036,,Цивильск,Чувашия,Приволжский,13478,1589,1781,
1037,,Цимлянск,Ростовская область,Южный,15029,1672,1961,Кумшацкая  (до 1950); Цимлянская  (до 1950); Цимлянский  (до 1961)
1038,,Циолковский,Амурская область,Дальневосточный,6208,1961,2015,Углегорск  (до 1969); Свободный-18  (до 1994); Углегорск  (до 2015)
1039,,Чадан,Тыва,Сибирский,9037,1873,1945,Артаадыт  (до 1929)
1040,,Чайковский,Пермский край,Приволжский,82933,1955,1962,
1041,,Чапаевск,Самарская область,Приволжский,72689,1909,1927,Иващенково  (до 1918); Троцк  (до 1929)
1042,,Чаплыгин,Липецкая область,Центральный,12656,1638,1778,Слободское  (до 1778); Раненбург  (до 1948)
1043,,Чебаркуль,Челябинская область,Уральский,43405,1736,1951,
1044,,Чебоксары,Чувашия,Приволжский,447929,1469,1469,
1045,,Чегем,Кабардино-Балкария,Северо-Кавказский,17988,1822,2000,Кундетово  (до 1920); Чегем I  (до 2000)
1046,,Чекалин,Тульская область,Центральный,994,1565,1565,Лихвин  (до 1944)
1047,,Челябинск,Челябинская область,Уральский,1130273,1736,1781,
1048,,Чердынь,Пермский край,Приволжский,4920,1451,1535,
1049,,Черемхово,Иркутская область,Сибирский,52650,1772,1917,Черемховское
1050,,Черепаново,Новосибирская область,Сибирский,19346,1912,1925,Свободный  (до 1921)
1051,,Череповец,Вологодская область,Северо-Западный,312311,1777,1777,
1052,,Черкесск,Карачаево-Черкесия,Северо-Кавказский,121439,1825,1931,Баталпашинская  (до 1931); Баталпашинск  (до 1934); Сулимов  (до 1937); Ежово-Черкесск  (до 1939)
1053,,Чёрмоз,Пермский край,Приволжский,4017,1701,1943,
1054,,Черноголовка,Московская область,Центральный,20986,1710,2001,
1055,,Черногорск,Хакасия,Сибирский,72117,1936,1936,Черногорские Копи  (до 1936)
1056,,Чернушка,Пермский край,Приволжский,33275,1854,1966,
1057,,Черняховск,Калининградская область,Северо-Западный,40464,1336,1583,Инстербург  (до 1946)
1058,,Чехов,Московская область,Центральный,60677,1175,1954,Лопасня  (до 1954)
1059,,Чистополь,Татарстан,Приволжский,60703,XVIII век,1781,Чистое Поле  (до 1781)
1060,,Чита,Забайкальский край,Сибирский,323964,1653,1851,"Плотбище ,  Плоты ,  Читинская слобода"
1061,,Чкаловск,Нижегородская область,Приволжский,12371,XII век,1955,Василёво  (до 1937)
1062,,Чудово,Новгородская область,Северо-Западный,16148,XVI век,1937,
1063,,Чулым,Новосибирская область,Сибирский,11964,1762,1947,Романовское  (до 1933)
1064,,Чусовой,Пермский край,Приволжский,46740,1878,1933,
1065,,Чухлома,Костромская область,Центральный,5209,1381,1778,
1066,,Шагонар,Тыва,Сибирский,10958,1888,1945,
1067,,Шадринск,Курганская область,Уральский,77744,1662,1712,Шадринская слобода  (до 1712); Малоархангельск  (до 1733)
1068,,Шали,Чечня,Северо-Кавказский,47715,1378  или  1384,1990,Междуречье  (с 1944 до 1958)
1069,,Шарыпово,Красноярский край,Сибирский,38570,XVIII век,1981,Черненко  (с 1985 до 1988)
1070,,Шарья,Костромская область,Центральный,23668,1906,1938,
1071,,Шатура,Московская область,Центральный,32836,1423,1936,
1072,,Шахты,Ростовская область,Южный,240152,1805,1867,Горное Грушевское поселение  (до 1881); Александровск-Грушевский  (до 1920)
1073,,Шахунья,Нижегородская область,Приволжский,21337,1912,1943,
1074,,Шацк,Рязанская область,Центральный,6562,1553,1553,
1075,,Шебекино,Белгородская область,Центральный,44277,1713,1938,
1076,,Шелехов,Иркутская область,Сибирский,47960,1953,1962,ИркАЗ  (до 1956)
1077,,Шенкурск,Архангельская область,Северо-Западный,5702,1137,1780,"Вага ,  Шенкурье"
1078,,Шилка,Забайкальский край,Сибирский,13947,1897,1951,
1079,,Шимановск,Амурская область,Дальневосточный,19815,1910,1950,Пёра  (до 1914); Гондатти  (до 1920); Владимиро-Шимановский  (до 1950)
1080,,Шиханы,Саратовская область,Приволжский,6067,1928,1996,
1081,,Шлиссельбург,Ленинградская область,Северо-Западный,13305,1323,1780,Орешек  (до 1611); Нотебург  (до 1702); Петрокрепость  (с 1944 до 1992)
1082,,Шумерля,Чувашия,Приволжский,33412,1916,1937,
1083,,Шумиха,Курганская область,Уральский,17821,1892,1944,
1084,,Шуя,Ивановская область,Центральный,58528,1394,1778,Борисоглебская слобода
1085,,Щёкино,Тульская область,Центральный,58154,1870,1938,
1086,,Щёлкино Оспаривается,Крым,Южный,10620,1978,1992,
1087,,Щёлково,Московская область,Центральный,110380,XVI век,1925,
1088,,Щигры,Курская область,Центральный,17043,XVIII век,1779,Троицкое  (до 1779)
1089,,Щучье,Курганская область,Уральский,10971,1750,1945,
1090,,Электрогорск,Московская область,Центральный,22120,1912,1946,Электропередача  (до 1946)
1091,,Электросталь,Московская область,Центральный,155324,1916,1938,Затишье  (до 1928)
1092,,Электроугли,Московская область,Центральный,20120,1899,1956,
1093,,Элиста,Калмыкия,Южный,103728,1865,1930,Степной  (с 1944 до 1957)
1094,,Энгельс,Саратовская область,Приволжский,202838,1747,1914,Покровская слобода  (до 1914); Покровск  (до 1931)
1095,,Эртиль,Воронежская область,Центральный,11387,1897,1963,Ертил
1096,,Югорск,Ханты-Мансийский АО — Югра,Уральский,34066,1962,1992,Комсомольский  (до 1992)
1097,,Южа,Ивановская область,Центральный,14170,1628,1925,
1098,,Южно-Сахалинск,Сахалинская область,Дальневосточный,181727,1882,1905,Владимировка  (до 1905); Тоёхара  (до 1947)
1099,,Южно-Сухокумск,Дагестан,Северо-Кавказский,10048,1958,1988,
1100,,Южноуральск,Челябинская область,Уральский,37890,1948,1963,
1101,,Юрга,Кемеровская область,Сибирский,81536,1886,1949,
1102,,Юрьев-Польский,Владимирская область,Центральный,19588,1152,1778,
1103,,Юрьевец,Ивановская область,Центральный,10205,1225,1778,
1104,,Юрюзань,Челябинская область,Уральский,12568,1758,1943,Юрюзанский завод  (до 1943)
1105,,Юхнов,Калужская область,Центральный,7056,1410,1777,
1106,,Ядрин,Чувашия,Приволжский,9614,1590,1781,
1107,,Якутск,Якутия,Дальневосточный,269486,1632,1643,"Ленский острог ,  Якутский острог"
1108,,Ялта Оспаривается,Крым,Южный,76746,1154,1838,Красноармейск  (с 1921 до 1922)
1109,,Ялуторовск,Тюменская область,Уральский,36494,1659,1782,
1110,,Янаул,Башкортостан,Приволжский,26988,1730-е,1991,
1111,,Яранск,Кировская область,Приволжский,17252,1584,1780,
1112,,Яровое,Алтайский край,Сибирский,18085,1943,1993,
1113,,Ярославль,Ярославская область,Центральный,591486,1010,1071,
1114,,Ярцево,Смоленская область,Центральный,47853,1610,1926,
1115,,Ясногорск,Тульская область,Центральный,16804,1578,1958,Лаптево  (до 1965)
1116,,Ясный,Оренбургская область,Приволжский,16082,1961,1979,
1117,,Яхрома,Московская область,Центральный,13248,1841,1940,"Суровцево ,  посёлок Покровской мануфактуры"
