№,Герб,Город,Регион,Федеральный округ,Население,Основание или первое упоминание,Статус города [5],Прежние названия
137,,Бузулук,Оренбургская область,Приволжский,82816,1736,1781,
138,,Буинск,Татарстан,Приволжский,20342,1691,1780,
139,,Буй,Костромская область,Центральный,25763,1536,1719,
140,,Буйнакск,Дагестан,Северо-Кавказский,65735,1834,1866,Темир-Хан-Шура  (до 1922)
141,,Бутурлиновка,Воронежская область,Центральный,27208,1740,1917,
142,,Валдай,Новгородская область,Северо-Западный,16099,XV век,1770,
143,,Валуйки,Белгородская область,Центральный,35322,1593,1593,
144,,Велиж,Смоленская область,Центральный,7620,1536,1776,
145,,Великие Луки,Псковская область,Северо-Западный,98778,1166,1777,Луки  (до 1406)
146,,Великий Новгород,Новгородская область,Северо-Западный,218724,VIII — IX века,859,Новгород  (до 1999)
147,,Великий Устюг,Вологодская область,Северо-Западный,31664,1147,1147,Устюг
148,,Вельск,Архангельская область,Северо-Западный,23885,1137,1780,
149,,Венёв,Тульская область,Центральный,15220,1371,1777,
150,,Верещагино,Пермский край,Приволжский,22760,1898,1942,Очерская  (до 1903); Вознесенская  (до 1916)
151,,Верея,Московская область,Центральный,5368,1371,1781,
152,,Верхнеуральск,Челябинская область,Уральский,9459,1734,1781,Верхояицкая пристань  (до 1736); Верхояицкая крепость  (до 1775); Верхнеуральская крепость  (до 1781)
153,,Верхний Тагил,Свердловская область,Уральский,11843,1716,1966,
154,,Верхний Уфалей,Челябинская область,Уральский,30504,1761,1941,Верхне-Уфалейский завод
155,,Верхняя Пышма,Свердловская область,Уральский,58707,1854,1946,Пышма ; Медный Рудник  (до 1946)
156,,Верхняя Салда,Свердловская область,Уральский,46240,1778,1938,
157,,Верхняя Тура,Свердловская область,Уральский,9468,1737,1941,
158,,Верхотурье,Свердловская область,Уральский,8815,1597,1598,
159,,Верхоянск,Якутия,Дальневосточный,1311,1638,1817,
160,,Весьегонск,Тверская область,Центральный,7330,1564,1776,
161,,Ветлуга,Нижегородская область,Приволжский,8956,1606,1778,Верхнее Воскресенское  (до 1778)
162,,Видное,Московская область,Центральный,56798,1949,1965,"Паринки ,  Видново"
163,,Вилюйск,Якутия,Дальневосточный,10233,1634,1783,Оленск  (до 1821)
164,,Вилючинск,Камчатский край,Дальневосточный,22905,1968,1968,Советский  (до 1970); Приморский  (до 1994)
165,,Вихоревка,Иркутская область,Сибирский,22528,1947,1966,
166,,Вичуга,Ивановская область,Центральный,37609,1925,1925,
167,,Владивосток,Приморский край,Дальневосточный,592069,1860,1880,
168,,Владикавказ,Северная Осетия — Алания,Северо-Кавказский,311635,1784,1860,"Орджоникидзе  (с 1931 до 1944, с 1954 до 1990); Дзауджикау  (с 1944 до 1954)"
169,,Владимир,Владимирская область,Центральный,348256,990,990,
170,,Волгоград,Волгоградская область,Южный,1021244,1589,1780,Царицын  (до 1925); Сталинград  (до 1961)
171,,Волгодонск,Ростовская область,Южный,170621,1950,1956,Волго-Донск
172,,Волгореченск,Костромская область,Центральный,17108,1964,1994,
173,,Волжск,Марий Эл,Приволжский,55671,XVI век,1940,Лопатино  (до 1938)
174,,Волжский,Волгоградская область,Южный,314436,1951,1954,
175,,Вологда,Вологодская область,Северо-Западный,301642,1147,1147,
176,,Володарск,Нижегородская область,Приволжский,9924,XIX век,1956,Сейма  (до 1920); Володары  (до 1956)
177,,Волоколамск,Московская область,Центральный,23386,1135,1135,"Волок-на-Ламе ,  Волок Ламский"
178,,Волосово,Ленинградская область,Северо-Западный,12162,1870,1999,"Волосва ,  Волосова"
179,,Волхов,Ленинградская область,Северо-Западный,47344,1918,1933,Званка  (до 1933); Волховстрой  (до 1940)
180,,Волчанск,Свердловская область,Уральский,10008,1956,1956,Лесная Волчанка  (до 1956)
181,,Вольск,Саратовская область,Приволжский,66520,1780,1780,
182,,Воркута,Коми,Северо-Западный,70551,1936,1943,Рудник
183,,Воронеж,Воронежская область,Центральный,889680,1586,1586,
184,,Ворсма,Нижегородская область,Приволжский,11622,1588,1955,
185,,Воскресенск,Московская область,Центральный,91301,1862,1938,
186,,Воткинск,Удмуртия,Приволжский,100034,1759,1935,Воткинский завод
187,,Всеволожск,Ленинградская область,Северо-Западный,59689,1892,1963,
188,,Вуктыл,Коми,Северо-Западный,12357,1968,1984,
189,,Выборг,Ленинградская область,Северо-Западный,80013,1293,1403,
190,,Выкса,Нижегородская область,Приволжский,56196,XVI век,1934,
191,,Высоковск,Московская область,Центральный,10642,1864,1940,
192,,Высоцк,Ленинградская область,Северо-Западный,1244,1532,1940,Тронгзунд  (до 1917); Уурас  (до 1948)
193,,Вытегра,Вологодская область,Северо-Западный,10490,1710,1773,
194,,Вышний Волочёк,Тверская область,Центральный,52326,1471,1770,
195,,Вяземский,Хабаровский край,Дальневосточный,14556,1894,1951,Вяземское
196,,Вязники,Владимирская область,Центральный,41252,1608,1778,
197,,Вязьма,Смоленская область,Центральный,57103,1239,1776,
198,,Вятские Поляны,Кировская область,Приволжский,35159,1596,1942,
199,,Гаврилов Посад,Ивановская область,Центральный,6434,1434,1789,
200,,Гаврилов-Ям,Ярославская область,Центральный,17792,1545,1938,"Гавриловский Ям ,  Гаврилов-Ямская слобода"
201,,Гагарин,Смоленская область,Центральный,31721,1705,1776,Гжатск  (до 1968)
202,,Гаджиево,Мурманская область,Северо-Западный,11089,1957,1981,Ягельная Губа  (до 1967); Мурманск-130  (с 1981 до 1994); Скалистый  (до 1999)
203,,Гай,Оренбургская область,Приволжский,38302,1959,1979,
204,,Галич,Костромская область,Центральный,17346,1159,1237,Галич Мерьский
205,,Гатчина,Ленинградская область,Северо-Западный,92566,1499,1796,Троцк  (с 1923 до 1929); Красногвардейск  (до 1944)
206,,Гвардейск,Калининградская область,Северо-Западный,13888,1255,1722,Тапиау  (до 1946)
207,,Гдов,Псковская область,Северо-Западный,4379,XIV век,1322,
208,,Геленджик,Краснодарский край,Южный,54813,1831,1915,"Торик ,  Пагры ,  Ептала"
209,,Георгиевск,Ставропольский край,Северо-Кавказский,72126,1777,1786,
210,,Глазов,Удмуртия,Приволжский,95835,1678,1780,
211,,Голицыно,Московская область,Центральный,17447,1872,2004,
212,,Горбатов,Нижегородская область,Приволжский,2278,XVI век,1779,Горбатое  (до 1779)
213,,Горно-Алтайск,Алтай,Сибирский,62861,1830,1928,Улала  (до 1932); Ойрот-Тура  (до 1948)
214,,Горнозаводск,Пермский край,Приволжский,12334,1947,1965,Новопашийский  (до 1965)
215,,Горняк,Алтайский край,Сибирский,13040,1942,1969,Золотуха
216,,Городец,Нижегородская область,Приволжский,30699,1152,1922,
217,,Городище,Пензенская область,Приволжский,8102,1681,1780,
218,,Городовиковск,Калмыкия,Южный,9565,1872,1971,Башанта  (до 1971)
219,,Гороховец,Владимирская область,Центральный,14015,1158,1158,
220,,Горячий Ключ,Краснодарский край,Южный,30093,1868,1965,
221,,Грайворон,Белгородская область,Центральный,6234,1678,1838,
222,,Гремячинск,Пермский край,Приволжский,11005,1941,1949,
223,,Грозный,Чечня,Северо-Кавказский,271596,1818,1869,Грозная  (до 1869)
224,,Грязи,Липецкая область,Центральный,46798,1868,1938,
225,,Грязовец,Вологодская область,Северо-Западный,15528,1538,1780,"Грязовитский ,  Грязлевицы"
226,,Губаха,Пермский край,Приволжский,27544,1755,1941,
227,,Губкин,Белгородская область,Центральный,88562,1939,1955,Коробково  (до 1939)
228,,Губкинский,Ямало-Ненецкий АО,Уральский,23340,1986,1996,
229,,Гудермес,Чечня,Северо-Кавказский,45643,XIX век,1941,посёлок имени Калинина
230,,Гуково,Ростовская область,Южный,67268,1878,1955,
231,,Гулькевичи,Краснодарский край,Южный,35225,1875,1961,
232,,Гурьевск,Калининградская область,Северо-Западный,12433,1262,1946,Нойхаузен  (до 1946)
233,,Гурьевск,Кемеровская область,Сибирский,24816,1816,1938,
234,,Гусев,Калининградская область,Северо-Западный,28260,XVI век,1724,Биссеркемен  (до 1550); Гумбиннен  (до 1946)
